"ep_no","series_ep_code","title","air_date"
"001","s01e01","Day of the Dumpster","1993-08-28"
"002","s01e02","Food Fight","1993-09-04"
"003","s01e03","High Five","1993-09-07"
"004","s01e04","Teamwork","1993-09-08"
"005","s01e05","A Pressing Engagement","1993-09-09"
"006","s01e06","Different Drum","1993-09-10"
"007","s01e07","I, Eye Guy","1993-09-14"
"008","s01e08","For Whom the Bell Trolls","1993-09-15"
"009","s01e09","Happy Birthday, Zack","1993-09-16"
"010","s01e10","No Clowning Around","1993-09-17"
"011","s01e11","Power Ranger Punks","1993-09-20"
"012","s01e12","Peace, Love and Woe","1993-09-21"
"013","s01e13","Foul Play in the Sky","1993-09-22"
"014","s01e14","Dark Warrior","1993-09-28"
"015","s01e15","Big Sisters","1993-09-30"
"016","s01e16","Switching Places","1993-10-04"
"017","s01e17","Green with Evil Part 1: Out of Control","1993-10-05"
"018","s01e18","Green with Evil Part 2: Jason's Battle","1993-10-06"
"019","s01e19","Green with Evil Part 3: The Rescue","1993-10-07"
"020","s01e20","Green with Evil Part 4: Eclipsing Megazord","1993-10-08"
"021","s01e21","Green with Evil Part 5: Breaking the Spell","1993-10-09"
"022","s01e22","The Trouble with Shellshock","1993-10-11"
"023","s01e23","The Spit Flower","1993-10-13"
"024","s01e24","Itsy Bitsy Spider","1993-10-19"
"025","s01e25","Life's a Masquerade","1993-10-30"
"026","s01e26","Gung Ho!","1993-11-04"
"027","s01e27","Wheel of Misfortune","1993-11-05"
"028","s01e28","Island of Illusion (1)","1993-11-08"
"029","s01e29","Island of Illusion (2)","1993-11-09"
"030","s01e30","The Rockstar","1993-11-10"
"031","s01e31","Calamity Kimberly","1993-11-12"
"032","s01e32","A Star is Born","1993-11-15"
"033","s01e33","The Yolk's on You!","1993-11-16"
"034","s01e34","The Green Candle (1)","1993-11-17"
"035","s01e35","The Green Candle (2)","1993-11-18"
"036","s01e36","Birds of a Feather","1993-11-22"
"037","s01e37","Clean-Up Club","1993-11-23"
"038","s01e38","A Bad Reflection on You","1993-11-27"
"039","s01e39","Doomsday (1)","1993-11-29"
"040","s01e40","Doomsday (2)","1993-11-30"
"041","s01e41","Rita's Seed of Evil","1994-02-07"
"042","s01e42","A Pig Surprise","1994-02-08"
"043","s01e43","Something Fishy","1994-02-09"
"044","s01e44","Lions & Blizzards","1994-02-10"
"045","s01e45","Crystal of Nightmares","1994-02-14"
"046","s01e46","To Flea or Not to Flee","1994-02-15"
"047","s01e47","Reign of the Jellyfish","1994-02-16"
"048","s01e48","Plague of the Mantis","1994-02-17"
"049","s01e49","Return of an Old Friend (1)","1994-02-28"
"050","s01e50","Return of an Old Friend (2)","1994-03-01"
"051","s01e51","Grumble Bee","1994-04-28"
"052","s01e52","Two Heads are Better Than One","1994-04-29"
"053","s01e53","Fowl Play","1994-05-02"
"054","s01e54","Trick or Treat","1994-05-03"
"055","s01e55","Second Chance","1994-05-04"
"056","s01e56","On Fins and Needles","1994-05-05"
"057","s01e57","Enter... The Lizzinator","1994-05-06"
"058","s01e58","Football Season","1994-05-09"
"059","s01e59","Mighty Morphin' Mutants","1994-05-16"
"060","s01e60","An Oyster Stew","1994-05-23"
"061","s02e01","The Mutiny (1)","1994-07-21"
"062","s02e02","The Mutiny (2)","1994-07-29"
"063","s02e03","The Mutiny (3)","1994-08-05"
"064","s02e04","The Wanna-Be Ranger","1994-09-13"
"065","s02e05","Putty on the Brain","1994-09-14"
"066","s02e06","Bloom of Doom","1994-09-17"
"067","s02e07","The Green Dream","1994-09-19"
"068","s02e08","The Power Stealer","1994-09-20"
"069","s02e09","The Beetle Invasion","1994-09-21"
"070","s02e10","Welcome to Venus Island","1994-09-24"
"071","s02e11","The Song of Guitardo","1994-09-26"
"072","s02e12","Green No More (1)","1994-09-27"
"073","s02e13","Green No More (2)","1994-09-28"
"074","s02e14","Missing Green","1994-10-03"
"075","s02e15","Orchestral Maneuvers in the Park","1994-10-04"
"076","s02e16","Beauty and the Beast","1994-10-10"
"077","s02e17","White Light (1)","1994-10-17"
"078","s02e18","White Light (2)","1994-10-18"
"079","s02e19","Two for One","1994-10-24"
"080","s02e20","Opposites Attract","1994-10-25"
"081","s02e21","Zedd's Monster Mash","1994-10-28"
"082","s02e22","The Ninja Encounter (1)","1994-11-02"
"083","s02e23","The Ninja Encounter (2)","1994-11-03"
"084","s02e24","The Ninja Encounter (3)","1994-11-04"
"085","s02e25","A Monster of Global Proportions","1994-11-05"
"086","s02e26","Zedd Waves","1994-11-07"
"087","s02e27","The Power Transfer (1)","1994-11-08"
"088","s02e28","The Power Transfer (2)","1994-11-09"
"089","s02e29","Goldar's Vice-Versa","1994-11-12"
"090","s02e30","Mirror of Regret","1994-11-14"
"091","s02e31","When is a Ranger Not a Ranger?","1994-11-15"
"092","s02e32","Rocky Just Wants to Have Fun","1994-11-16"
"093","s02e33","Lights, Camera, Action","1994-11-17"
"094","s02e34","Where There's Smoke, There's Fire","1994-11-21"
"095","s02e35","Scavenger Hunt","1994-11-22"
"096","s02e36","The Great Bookala Escape","1994-11-23"
"097","s02e37","Forever Friends","1994-11-28"
"098","s02e38","A Reel Fish Story","1994-11-29"
"099","s02e39","Rangers Back in Time (1)","1995-02-04"
"100","s02e40","Rangers Back in Time (2)","1995-02-11"
"101","s02e41","The Wedding (1)","1995-02-13"
"102","s02e42","The Wedding (2)","1995-02-14"
"103","s02e43","The Wedding (3)","1995-02-15"
"104","s02e44","Return of the Green Ranger (1)","1995-02-20"
"105","s02e45","Return of the Green Ranger (2)","1995-02-21"
"106","s02e46","Return of the Green Ranger (3)","1995-02-22"
"107","s02e47","Best Man for the Job","1995-04-29"
"108","s02e48","Storybook Rangers (1)","1995-05-01"
"109","s02e49","Storybook Rangers (2)","1995-05-02"
"110","s02e50","Wild West Rangers (1)","1995-05-08"
"111","s02e51","Wild West Rangers (2)","1995-05-09"
